# Source: https://download.glycosmos.org/glycosmos_glycans_list.csv
# GlyCosmos snapshot date: 2026-08-10
# Source subsumption level: Base composition with linkage
# Source base-composition records: 8115
# GlyCombo-compatible canonical lookup records: 3398
CompositionKey	GlyTouCanAccession
Hex=1;HexNAc=2;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G84825UQ
Hex=1;HexNAc=2;dHex=1;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G95680CW
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G05460KC
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G92011QJ
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=0	G73692XO
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G70868XE
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G40402WH
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=1;P=0;S=0;Ac=0	G39548GB
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=1;P=0;S=0;Ac=4	G61284HO
Hex=1;HexNAc=2;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=1;P=0;S=0;Ac=5	G40675MY
Hex=1;HexNAc=2;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G50112ZW
Hex=1;HexNAc=2;dHex=3;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G47757LZ
Hex=1;HexNAc=2;dHex=45;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G17261DS
Hex=1;HexNAc=2;dHex=4;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G09909DO
Hex=1;HexNAc=2;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G21797RC
Hex=1;HexNAc=2;dHex=6;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G63754NF
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G88713AC
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G53657ER
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=2;S=0;Ac=0	G32686BR
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=0	G19364TD
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G42613QM
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G46874AK
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G76855PV
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G03410PL
Hex=1;HexNAc=3;dHex=0;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G05598KZ
Hex=1;HexNAc=3;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G10504TW
Hex=1;HexNAc=3;dHex=0;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G63616CD
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G21259PI
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G15765EV
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=0	G15441YH
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G05127BN
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G10562JU
Hex=1;HexNAc=3;dHex=1;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G21102OW
Hex=1;HexNAc=3;dHex=1;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G57252BC
Hex=1;HexNAc=3;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G88775CU
Hex=1;HexNAc=3;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G33774SU
Hex=1;HexNAc=3;dHex=3;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G49779QG
Hex=1;HexNAc=3;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G88188BP
Hex=1;HexNAc=3;dHex=4;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G00771KP
Hex=1;HexNAc=3;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G53421EM
Hex=1;HexNAc=3;dHex=7;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G44482MI
Hex=1;HexNAc=3;dHex=8;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G49939FL
Hex=1;HexNAc=4;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G30190ML
Hex=1;HexNAc=4;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G12047XR
Hex=1;HexNAc=4;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G48165DY
Hex=1;HexNAc=4;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G49896YF
Hex=1;HexNAc=4;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G25116JG
Hex=1;HexNAc=4;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G13538PK
Hex=1;HexNAc=4;dHex=7;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G25652OH
Hex=1;HexNAc=5;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G12284WG
Hex=1;HexNAc=5;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G07609DD
Hex=1;HexNAc=5;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G60807UJ
Hex=1;HexNAc=5;dHex=6;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G89016VW
Hex=1;HexNAc=5;dHex=8;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G53607IG
Hex=1;HexNAc=6;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G10846EF
Hex=1;HexNAc=6;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G15064OQ
Hex=1;HexNAc=6;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G52023YV
Hex=1;HexNAc=6;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G15554MW
Hex=1;HexNAc=6;dHex=6;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G27335NZ
Hex=1;HexNAc=6;dHex=8;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G54047HM
Hex=1;HexNAc=7;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G76176AE
Hex=1;HexNAc=7;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G52807CQ
Hex=1;HexNAc=7;dHex=6;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G68151VU
Hex=1;HexNAc=7;dHex=7;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G54921WI
Hex=1;HexNAc=8;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G37589GT
Hex=1;HexNAc=8;dHex=8;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G72840ZF
Hex=1;HexNAc=9;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G38398KX
Hex=1;HexNAc=9;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G93994NN
Hex=1;HexNAc=9;dHex=8;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G90628TK
Hex=1;HexNAc=9;dHex=9;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G08457HQ
Hex=20;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G27711BJ
Hex=23;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G37348KQ
Hex=23;HexNAc=13;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G79291OY
Hex=25;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G30127PF
Hex=26;HexNAc=26;dHex=26;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G19350QA
Hex=28;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G49970AS
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G90627TW
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G80781ZU
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G10096XA
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G51173JJ
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=6	G95379RT
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=7	G39321HB
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G59365RI
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=2;Ac=0	G22439FO
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=3;Ac=0	G56341OX
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=4;Ac=0	G08215ZD
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G38621WW
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=2;S=0;Ac=0	G04939HG
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=0	G30664IS
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=1	G11169GF
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=2;dHexNAc=0;P=0;S=0;Ac=0	G28882EF
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=2;dHexNAc=0;P=0;S=1;Ac=0	G01494MP
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G62055US
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G70052MP
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G33586JY
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G55852XX
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=5	G74614VM
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G29228HV
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=1;dHexNAc=0;P=0;S=0;Ac=0	G40099VD
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=1;dHexNAc=0;P=0;S=1;Ac=0	G96504BW
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G82688EZ
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G33181PQ
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G64679QF
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=2;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G02101QG
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=3;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G83992HM
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=3;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G94393KX
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=3;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G34711YE
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G17356LH
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G35025CP
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=2;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G06847JE
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=0;KDN=2;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G78488UB
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G81216TA
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G75429RS
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G13575DQ
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G11513IX
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G81561EI
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G79436CC
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=0;Pent=6;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G70283FU
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G59714NA
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G18583GO
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=2;S=0;Ac=0	G93707AV
Hex=2;HexNAc=0;dHex=0;HexA=0;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G84550TD
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G93688KW
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G06280BU
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=5;Ac=1	G10749JC
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G47339NZ
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G90865UK
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G91268KA
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G61084RR
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G90415UF
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G54744CD
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G54808JQ
Hex=2;HexNAc=0;dHex=0;HexA=1;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G03712UQ
Hex=2;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G38440GD
Hex=2;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G34744CQ
Hex=2;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=5;Ac=0	G64148ZU
Hex=2;HexNAc=0;dHex=0;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G63990JL
Hex=2;HexNAc=0;dHex=0;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G55173FX
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G89864HJ
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G74840TO
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G91509JD
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G45365UM
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G48266EG
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=2;Ac=0	G77978NC
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G20939HA
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G65758JQ
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G57843FO
Hex=2;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=2;Ac=0	G39437QY
