# Source: https://download.glycosmos.org/glycosmos_glycans_list.csv
# GlyCosmos snapshot date: 2026-08-10
# Source subsumption level: Base composition with linkage
# Source base-composition records: 8115
# GlyCombo-compatible canonical lookup records: 3398
CompositionKey	GlyTouCanAccession
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G33261MF
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G39772JG
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=2	G47270WX
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=3;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G46806AL
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=4;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G90585MC
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=5;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G51598RU
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=6;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G15919BC
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=7;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G59445AN
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=8;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G03465BQ
Hex=0;HexNAc=0;dHex=0;HexA=0;HexN=9;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G40720YM
Hex=0;HexNAc=0;dHex=0;HexA=10;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G36680CR
Hex=0;HexNAc=0;dHex=0;HexA=11;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G22371TY
Hex=0;HexNAc=0;dHex=0;HexA=12;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G43827QC
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=1;P=0;S=0;Ac=0	G56151AQ
